V_flux,V_flux_err,V_mag,V_mag_err,I_flux,I_flux_err,I_mag,I_mag_err,V_minus_I,color_err,X_pos,Y_pos,Main_Sequence
437.2437,5.2811,19.4021,0.0131,268.3987,1.9389,18.6265,0.0078,0.7755,0.0153,4208.0000,2253.0000,True
436.7783,5.2805,19.4032,0.0131,241.0581,1.7544,18.7432,0.0079,0.6601,0.0153,3113.0000,751.0000,True
435.1191,5.2497,19.4074,0.0131,319.2516,2.3108,18.4382,0.0079,0.9692,0.0153,1953.0000,4332.0000,False
434.7451,5.2413,19.4083,0.0131,274.6690,1.9784,18.6015,0.0078,0.8068,0.0152,2338.0000,3076.0000,True
433.2347,5.2244,19.4121,0.0131,265.8502,1.9193,18.6369,0.0078,0.7752,0.0153,1561.0000,3842.0000,True
430.3967,5.1985,19.4192,0.0131,256.5709,1.8762,18.6755,0.0079,0.7437,0.0153,2591.0000,4121.0000,True
429.3400,5.1834,19.4219,0.0131,256.9402,1.8618,18.6739,0.0079,0.7480,0.0153,2376.0000,3735.0000,True
424.4641,5.7754,19.4343,0.0148,268.9394,1.9805,18.6244,0.0080,0.8099,0.0168,5230.0000,2505.0000,True
424.2306,5.1180,19.4349,0.0131,240.0242,1.7364,18.7479,0.0079,0.6870,0.0153,3541.0000,1921.0000,True
422.6709,5.0951,19.4389,0.0131,282.3455,2.0266,18.5715,0.0078,0.8673,0.0152,2238.0000,4766.0000,True
421.8590,5.0910,19.4410,0.0131,254.9433,1.8821,18.6824,0.0080,0.7586,0.0154,4530.0000,2859.0000,True
417.7652,5.0626,19.4516,0.0132,260.4163,1.8834,18.6593,0.0079,0.7922,0.0153,3401.0000,5266.0000,True
415.6680,5.0171,19.4570,0.0131,240.3367,1.9341,18.7464,0.0087,0.7106,0.0158,4434.0000,5258.0000,True
413.5923,4.9921,19.4625,0.0131,251.3071,1.8342,18.6980,0.0079,0.7645,0.0153,3028.0000,3028.0000,True
409.5202,4.9715,19.4732,0.0132,265.8498,1.9243,18.6369,0.0079,0.8363,0.0153,3499.0000,837.0000,True
406.6936,4.9365,19.4807,0.0132,302.8471,2.1994,18.4954,0.0079,0.9853,0.0154,5367.0000,3541.0000,False
405.3405,4.9016,19.4844,0.0131,258.1646,1.8735,18.6688,0.0079,0.8156,0.0153,3908.0000,2520.0000,True
404.9537,4.9893,19.4854,0.0134,239.5765,1.7697,18.7499,0.0080,0.7355,0.0156,5161.0000,2932.0000,True
400.3540,4.8632,19.4978,0.0132,232.8145,1.7153,18.7810,0.0080,0.7168,0.0154,3211.0000,3532.0000,True
398.9166,5.4498,19.5017,0.0148,233.8674,1.7039,18.7761,0.0079,0.7256,0.0168,2671.0000,5318.0000,True
397.7311,4.7936,19.5049,0.0131,247.2445,2.4117,18.7157,0.0106,0.7892,0.0168,3180.0000,5004.0000,True
396.8727,4.7977,19.5073,0.0131,247.6005,1.8823,18.7141,0.0083,0.7932,0.0155,4868.0000,2076.0000,True
390.6539,4.7300,19.5244,0.0131,254.1965,1.8355,18.6856,0.0078,0.8388,0.0153,5250.0000,4368.0000,True
388.5549,4.6985,19.5303,0.0131,264.7812,1.9083,18.6413,0.0078,0.8890,0.0153,2099.0000,1378.0000,True
387.9521,4.6954,19.5320,0.0131,244.9025,1.7772,18.7260,0.0079,0.8059,0.0153,3928.0000,3914.0000,True
384.9093,4.6776,19.5405,0.0132,225.6964,1.7018,18.8147,0.0082,0.7258,0.0155,3669.0000,890.0000,True
380.7094,4.6103,19.5524,0.0131,214.1604,1.5755,18.8717,0.0080,0.6808,0.0154,2557.0000,860.0000,True
380.6445,4.6079,19.5526,0.0131,215.9219,1.5787,18.8628,0.0079,0.6898,0.0154,4144.0000,2089.0000,True
380.0876,4.5995,19.5542,0.0131,245.1491,1.7761,18.7249,0.0079,0.8293,0.0153,1234.0000,3419.0000,True
378.8243,4.6362,19.5578,0.0133,242.0180,2.1081,18.7389,0.0095,0.8189,0.0163,1126.0000,654.0000,True
377.8793,4.5610,19.5605,0.0131,223.4279,1.6359,18.8257,0.0079,0.7349,0.0153,4140.0000,2983.0000,True
377.7496,5.0194,19.5609,0.0144,226.1128,1.6509,18.8127,0.0079,0.7482,0.0165,4319.0000,3963.0000,True
375.8292,4.5358,19.5664,0.0131,260.4353,1.8741,18.6593,0.0078,0.9072,0.0153,3958.0000,5297.0000,True
375.6458,4.5434,19.5670,0.0131,231.8987,1.7568,18.7853,0.0082,0.7817,0.0155,2747.0000,2332.0000,True
374.7616,4.5344,19.5695,0.0131,221.1599,1.6184,18.8367,0.0079,0.7328,0.0154,3174.0000,1639.0000,True
373.7991,4.5468,19.5723,0.0132,223.0130,1.6389,18.8277,0.0080,0.7446,0.0154,4710.0000,4899.0000,True
367.0725,4.4469,19.5920,0.0132,260.7598,1.8934,18.6579,0.0079,0.9341,0.0153,4094.0000,4094.0000,True
